,bsd,date,endtime,id,name,starttime,street,town,url,zipcode,address,geocodestatus_try1,geocodestatus_try2,lat,long
483,nord,2016-09-15,19:00,5763,{},15:00,Gustav-Adolf-Str. 88,Hamburg,"terminerinnerung.php?event_id=5763&&
              bsd=nord&&
              date=2016-09-15&&
              start=15:00&&
              end=19:00&&
              name1=&&
              name2=Drk-Kreisverband%2C+1%2C+Etage&&
              street=Gustav-Adolf-Str.+88&&
              plz=22043&&
              town=Hamburg&&
              tort=220435",22043,"Gustav-Adolf-Str. 88, 22043 Hamburg",1,0,53.57498885,10.1009112
484,nord,2016-09-15,20:00,5760,{},16:30,Marschweg 16-20,Kaltenkirchen,"terminerinnerung.php?event_id=5760&&
              bsd=nord&&
              date=2016-09-15&&
              start=16:30&&
              end=20:00&&
              name1=&&
              name2=Gemeinschaftsschule&&
              street=Marschweg+16-20&&
              plz=24568&&
              town=Kaltenkirchen&&
              tort=245681",24568,"Marschweg 16-20, 24568 Kaltenkirchen",1,0,53.83489895,9.95828996244
485,nord,2016-09-15,19:30,5761,{},15:30,Friedhofsweg 3,Fockbek,"terminerinnerung.php?event_id=5761&&
              bsd=nord&&
              date=2016-09-15&&
              start=15:30&&
              end=19:30&&
              name1=&&
              name2=Bergschule&&
              street=Friedhofsweg+3&&
              plz=24787&&
              town=Fockbek&&
              tort=247871",24787,"Friedhofsweg 3, 24787 Fockbek",1,0,54.30522,9.5997639
486,nord,2016-09-15,19:30,5758,{},15:30,Koppeldamm 50,Elmshorn,"terminerinnerung.php?event_id=5758&&
              bsd=nord&&
              date=2016-09-15&&
              start=15:30&&
              end=19:30&&
              name1=&&
              name2=Boje-C.-Steffen-Gem.-Schule&&
              street=Koppeldamm+50&&
              plz=25335&&
              town=Elmshorn&&
              tort=253353",25335,"Koppeldamm 50, 25335 Elmshorn",1,0,53.76669,9.6667344
487,nord,2016-09-15,19:30,5762,{},16:00,Schulstr. 11,Pellworm,"terminerinnerung.php?event_id=5762&&
              bsd=nord&&
              date=2016-09-15&&
              start=16:00&&
              end=19:30&&
              name1=&&
              name2=Hermann-Neuton-Paulsen-Schule&&
              street=Schulstr.+11&&
              plz=25849&&
              town=Pellworm&&
              tort=258491",25849,"Schulstr. 11, 25849 Pellworm",1,0,54.5286788,8.6562278
488,ns,2016-09-15,20:00,1560,Schützenhaus,16:00,Wallinghausener Straße 172,Aurich,"terminerinnerung.php?event_id=1560&&
              bsd=ns&&
              date=2016-09-15&&
              start=16:00&&
              end=20:00&&
              name1=Sch%FCtzenhaus&&
              name2=&&
              street=Wallinghausener+Stra%DFe+172&&
              plz=26605&&
              town=Aurich&&
              tort=8433",26605,"Wallinghausener Straße 172, 26605 Aurich",1,0,53.4773551,7.5241601
489,ns,2016-09-15,20:00,1243,Gemeindehaus,15:30,Truglandweg 2,Uplengen,"terminerinnerung.php?event_id=1243&&
              bsd=ns&&
              date=2016-09-15&&
              start=15:30&&
              end=20:00&&
              name1=Gemeindehaus&&
              name2=&&
              street=Truglandweg+2&&
              plz=26670&&
              town=Uplengen&&
              tort=88",26670,"Truglandweg 2, 26670 Uplengen",1,0,53.3079994,7.76029887571
490,ns,2016-09-15,20:00,1285,Dorfgemeinschaftshaus,17:00,Schulstraße 10,Colnrade,"terminerinnerung.php?event_id=1285&&
              bsd=ns&&
              date=2016-09-15&&
              start=17:00&&
              end=20:00&&
              name1=Dorfgemeinschaftshaus&&
              name2=&&
              street=Schulstra%DFe+10&&
              plz=27243&&
              town=Colnrade&&
              tort=975",27243,"Schulstraße 10, 27243 Colnrade",1,0,52.8234465,8.4784951
491,ns,2016-09-15,20:00,1423,Neue Schule,17:00,Schulstraße 11,Klein Meckelsen,"terminerinnerung.php?event_id=1423&&
              bsd=ns&&
              date=2016-09-15&&
              start=17:00&&
              end=20:00&&
              name1=Neue+Schule&&
              name2=&&
              street=Schulstra%DFe+11&&
              plz=27419&&
              town=Klein+Meckelsen&&
              tort=551",27419,"Schulstraße 11, 27419 Klein Meckelsen",1,0,53.3090563,9.4508378
492,ns,2016-09-15,20:00,1529,Schulzentrum,16:00,Mühlenweg 25,Bad Bederkesa,"terminerinnerung.php?event_id=1529&&
              bsd=ns&&
              date=2016-09-15&&
              start=16:00&&
              end=20:00&&
              name1=Schulzentrum&&
              name2=&&
              street=M%FChlenweg+25&&
              plz=27624&&
              town=Bad+Bederkesa&&
              tort=475",27624,"Mühlenweg 25, 27624 Bad Bederkesa",1,0,53.6214933,8.838465
